ID,CreatedAt,Text,Retweets,Likes
1979852331870306708,2025-10-19 10:09:14+00:00,The wait is finally over! 🎉 The Hisense Amazon Sale is Live — grab unbeatable deals on Hisense TV and Hisense AC today. Experience innovation from the Global No.1 brand. @Hisense_IND #HisenseIndia https://t.co/oDBItaKD0P,0,0
1979852283082145984,2025-10-19 10:09:02+00:00,The wait is over! Hisense India Amazon Sale brings exclusive offers on TV and AC. Upgrade your lifestyle today: https://t.co/JqgNn5b6zV #HisenseIndia @Hisense_IND,0,0
1979852241130717445,2025-10-19 10:08:52+00:00,"Make your home festival-ready with Hisense! 🪔 Amazon Sale Live now — exclusive deals await you: https://t.co/Dt75bD9gis
https://t.co/UMvFXW7o30",0,0
1979852240342192470,2025-10-19 10:08:52+00:00,"Cool comfort meets cinematic brilliance. ❄️📺
The Hisense Amazon Sale is Live!
Get incredible prices on Hisense TVs and ACs today.
Shop smart ➡️ https://t.co/JBs7t64DmS
#HisenseIndia",0,0
1979852219064500691,2025-10-19 10:08:47+00:00,Upgrade your lifestyle today! ✨ The Hisense Amazon Sale is Live with huge offers on Hisense TVs and ACs. Bring home perfection with Hisense India. #HisenseIndia https://t.co/mNYznyOU75,0,0
1979852203499372728,2025-10-19 10:08:43+00:00,Your home deserves the best! 🏠✨ The Hisense Amazon Sale is LIVE with huge discounts on TVs &amp; ACs. Upgrade your space today! ➡️ https://t.co/ERLbeMhjuE @Hisense_IND #HisenseIndia,0,0
1979852184612381101,2025-10-19 10:08:39+00:00,Transform your living space with Hisense! 🏠 Experience Global No.1 technology at special Amazon Sale prices. Hisense TV and Hisense AC deals await. @Hisense_IND #HisenseIndia https://t.co/rN69cgr3Ie,0,0
1979852122083733953,2025-10-19 10:08:24+00:00,Don’t wait! The Hisense Amazon Sale is live with huge savings on all TVs and ACs. Upgrade your home today: https://t.co/Uu7rESCiga @Hisense_IND #HisenseIndia,0,0
1979852120737358276,2025-10-19 10:08:24+00:00,Transform your living space with Hisense! 🏠 Experience Global No.1 technology at special Amazon Sale prices. Hisense TV and Hisense AC deals await. @Hisense_IND #HisenseIndia https://t.co/dJHG0f6PCg,0,0
1979852088340611433,2025-10-19 10:08:16+00:00,Hisense creates smarter spaces with global quality and local offers during its live Amazon Sale @Hisense_IND #HisenseIndia https://t.co/hHO1D3jlmX,0,0
1979852079335460887,2025-10-19 10:08:14+00:00,"The Global No.1 brand just made upgrading easy! 💥 Hisense Amazon Sale is Live with unmissable deals. https://t.co/xUqYgeY9C6
https://t.co/9WJ7C1Ke7M",0,0
1979852024490692941,2025-10-19 10:08:01+00:00,"Smart living, smart deals! Hisense Amazon Sale is live with exclusive offers on TVs and ACs. Shop now: https://t.co/BEN3Uc9fqv @Hisense_IND #HisenseIndia",0,0
1979851999282921914,2025-10-19 10:07:55+00:00,"Bright visuals and cool comfort — all at one place! 🌼 Don’t miss the Hisense Amazon Sale. Shop today: https://t.co/XaPz4JkzKV
https://t.co/NChmcqgCjY",0,0
1979851998070718762,2025-10-19 10:07:54+00:00,"Want cinema-quality at home? Or perfect cooling? 🎥❄️
Get both with Hisense! Amazon Sale is LIVE.
Link: https://t.co/WKO5s6IY9G
#HisenseIndia @Hisense_IND",0,0
1979851884073832513,2025-10-19 10:07:27+00:00,"Lights, comfort, and clarity — all from Hisense! 🌟 The Global No.1 brand’s Amazon Sale is Live. Don’t wait to shop Hisense TV and Hisense AC at great prices. #HisenseIndia https://t.co/nS7ZGWKvs8",0,0
1979851853082034637,2025-10-19 10:07:20+00:00,"Hisense TVs &amp; ACs are on Amazon Sale — Global No.1 quality, unbeatable deals.
Shop now: https://t.co/7o2Ijk1AbW
@Hisense_IND #HisenseIndia
https://t.co/QkG7QhIOmR",0,0
1979851850192138732,2025-10-19 10:07:19+00:00,Experience cutting-edge technology with Hisense TV and AC! Grab your favorites now during the Amazon Sale: https://t.co/tLTpn2g3nK #HisenseIndia https://t.co/RxMFvmI5c0,0,0
1979851849386861050,2025-10-19 10:07:19+00:00,"Lights, comfort, and clarity — all from Hisense! 🌟 The Global No.1 brand’s Amazon Sale is Live. Don’t wait to shop Hisense TV and Hisense AC at great prices. #HisenseIndia https://t.co/wQtCWw5smB",0,0
1979851849152024879,2025-10-19 10:07:19+00:00,Every corner of your home deserves Hisense excellence shop the Amazon Sale before it ends @Hisense_IND #HisenseIndia https://t.co/iCZ4iuG0xx,0,0
1979851848862650713,2025-10-19 10:07:19+00:00,Hisense celebrates global excellence with amazing deals in its live Amazon Sale across India @Hisense_IND #HisenseIndia https://t.co/R01iJD8kF4,0,0
1979851848480899456,2025-10-19 10:07:19+00:00,Hisense creates smarter spaces with global quality and local offers during its live Amazon Sale @Hisense_IND #HisenseIndia https://t.co/Z1ysfqsKiW,0,0
1979851848376095083,2025-10-19 10:07:19+00:00,Smart savings smart choices smart living all begin with the Hisense Amazon Sale live today @Hisense_IND #HisenseIndia https://t.co/bR680V8a6q,0,0
1979851817082290318,2025-10-19 10:07:11+00:00,"The Hisense Amazon Sale is LIVE — grab your favorite TV or AC today.
Don’t miss out: https://t.co/lERo604xY6 #HisenseIndia
https://t.co/h7YD6OwO52",0,0
1979851816960688482,2025-10-19 10:07:11+00:00,Upgrade made easy! 🚀 The Hisense Amazon Sale is now Live with massive discounts across its range of TVs and ACs. Shop the Global No.1 today! @Hisense_IND #HisenseIndia https://t.co/8G8d0i7Ijj,0,0
1979851801190162621,2025-10-19 10:07:07+00:00,"Make every room extraordinary with Hisense technology. The Amazon Sale is Live for TVs, ACs, and more! Check it out: https://t.co/1Cq4VhX8hO #HisenseIndia @Hisense_IND",0,0
1979851796874170572,2025-10-19 10:07:06+00:00,"Smarter TV, cooler AC, happier home! 😎
The Hisense Amazon Sale is LIVE — upgrade your lifestyle today.
@Hisense_IND #HisenseIndia https://t.co/hKxKSSY7kL",0,0
1979851791878779171,2025-10-19 10:07:05+00:00,"Why wait for the perfect moment? The Hisense Amazon Sale is already Live! 😍 Grab your dream TV or AC today: https://t.co/YK6Gp3m2jz
https://t.co/0jGWBd57LZ",0,0
1979851791606112571,2025-10-19 10:07:05+00:00,"Experience Global No.1 Hisense technology with special Amazon Sale offers on TVs &amp; ACs.
Shop now ➡️ https://t.co/gwkin0AkpS
@Hisense_IND #HisenseIndia
https://t.co/ekhir2a9tB",0,0
1979851759989436499,2025-10-19 10:06:58+00:00,"Smart. Stylish. Hisense. 💫 The Amazon Sale is Live — get the best deals on TVs and ACs today! https://t.co/xRH0YOkwLB
https://t.co/OWMlhGFbFd",0,0
